"filename", "language", "Python", "JavaScript", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"d:\Dev\projects\core\commands\admin\chrecorder.js", "JavaScript", 0, 38, 0, 0, 0, 0, 1, 39
"d:\Dev\projects\core\commands\admin\playRecord.js", "JavaScript", 0, 51, 0, 0, 0, 0, 2, 53
"d:\Dev\projects\core\commands\admin\record.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 42
"d:\Dev\projects\core\commands\admin\setAvatar.js", "JavaScript", 0, 22, 0, 0, 0, 2, 0, 24
"d:\Dev\projects\core\commands\admin\webcam.js", "JavaScript", 0, 35, 0, 0, 0, 0, 4, 39
"d:\Dev\projects\core\commands\general\getTime.js", "JavaScript", 0, 35, 0, 0, 0, 1, 2, 38
"d:\Dev\projects\core\commands\general\ping.js", "JavaScript", 0, 35, 0, 0, 0, 1, 1, 37
"d:\Dev\projects\core\commands\index.js", "JavaScript", 0, 31, 0, 0, 0, 1, 6, 38
"d:\Dev\projects\core\commands\music\filter.js", "JavaScript", 0, 67, 0, 0, 0, 0, 1, 68
"d:\Dev\projects\core\commands\music\join.js", "JavaScript", 0, 29, 0, 0, 0, 0, 1, 30
"d:\Dev\projects\core\commands\music\leave.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Dev\projects\core\commands\music\list.js", "JavaScript", 0, 140, 0, 0, 0, 1, 6, 147
"d:\Dev\projects\core\commands\music\loop.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 33
"d:\Dev\projects\core\commands\music\pause.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Dev\projects\core\commands\music\play.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Dev\projects\core\commands\music\playfile.js", "JavaScript", 0, 54, 0, 0, 0, 0, 11, 65
"d:\Dev\projects\core\commands\music\playlist.js", "JavaScript", 0, 51, 0, 0, 0, 0, 1, 52
"d:\Dev\projects\core\commands\music\queue.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Dev\projects\core\commands\music\resume.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Dev\projects\core\commands\music\skip.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"d:\Dev\projects\core\commands\music\volume.js", "JavaScript", 0, 32, 0, 0, 0, 0, 1, 33
"d:\Dev\projects\core\commands\rpg\adventure.js", "JavaScript", 0, 167, 0, 0, 0, 17, 19, 203
"d:\Dev\projects\core\commands\rpg\buy.js", "JavaScript", 0, 58, 0, 0, 0, 2, 5, 65
"d:\Dev\projects\core\commands\rpg\give.js", "JavaScript", 0, 98, 0, 0, 0, 2, 4, 104
"d:\Dev\projects\core\commands\rpg\inventory.js", "JavaScript", 0, 70, 0, 0, 0, 2, 6, 78
"d:\Dev\projects\core\commands\rpg\mining.js", "JavaScript", 0, 100, 0, 0, 0, 10, 9, 119
"d:\Dev\projects\core\commands\rpg\move.js", "JavaScript", 0, 59, 0, 0, 0, 1, 9, 69
"d:\Dev\projects\core\commands\rpg\profile.js", "JavaScript", 0, 136, 0, 0, 0, 3, 10, 149
"d:\Dev\projects\core\commands\rpg\shop.js", "JavaScript", 0, 147, 0, 0, 0, 3, 18, 168
"d:\Dev\projects\core\commands\rpg\start.js", "JavaScript", 0, 190, 0, 0, 0, 6, 6, 202
"d:\Dev\projects\core\commands\rpg\upgrade.js", "JavaScript", 0, 112, 0, 0, 0, 2, 7, 121
"d:\Dev\projects\core\commands\rpg\use.js", "JavaScript", 0, 55, 0, 0, 0, 2, 3, 60
"d:\Dev\projects\core\config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 9, 22
"d:\Dev\projects\core\config\servers\950248968787460106.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"d:\Dev\projects\core\config\setting.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 67
"d:\Dev\projects\core\events\index.js", "JavaScript", 0, 13, 0, 0, 0, 1, 2, 16
"d:\Dev\projects\core\events\messageCreate.js", "JavaScript", 0, 108, 0, 0, 0, 4, 21, 133
"d:\Dev\projects\core\events\ready.js", "JavaScript", 0, 43, 0, 0, 0, 9, 9, 61
"d:\Dev\projects\core\index.js", "JavaScript", 0, 83, 0, 0, 0, 25, 15, 123
"d:\Dev\projects\core\lib\brain_old\backup\init.LSTM.js", "JavaScript", 0, 200, 0, 0, 0, 19, 33, 252
"d:\Dev\projects\core\lib\brain_old\backup\lstmModel.json", "JSON", 0, 0, 64824, 0, 0, 0, 0, 64824
"d:\Dev\projects\core\lib\brain_old\backup\lstmModel.white.backup.json", "JSON", 0, 0, 51225, 0, 0, 0, 0, 51225
"d:\Dev\projects\core\lib\brain_old\backup\nlp.json", "JSON", 0, 0, 271, 0, 0, 0, 0, 271
"d:\Dev\projects\core\lib\brain_old\data.js", "JavaScript", 0, 313, 0, 0, 0, 0, 1, 314
"d:\Dev\projects\core\lib\brain_old\index.js", "JavaScript", 0, 88, 0, 0, 0, 28, 12, 128
"d:\Dev\projects\core\lib\brain_old\init.NLP.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"d:\Dev\projects\core\lib\brain_old\init.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"d:\Dev\projects\core\lib\brain_old\lstm.js", "JavaScript", 0, 226, 0, 0, 0, 199, 26, 451
"d:\Dev\projects\core\lib\brain_old\poetry\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Dev\projects\core\lib\brain_old\poetry\init.js", "JavaScript", 0, 110, 0, 0, 0, 1, 23, 134
"d:\Dev\projects\core\lib\brain_old\test.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"d:\Dev\projects\core\lib\database\Database.js", "JavaScript", 0, 42, 0, 0, 0, 0, 2, 44
